pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted,spans_adj_change
134517__314713,134517,314713,2021-11-05,2021-11-16,11,9.899026921648801,9.61948876,19.71669958860276,19.24217186343138,-0.024067300058965325,0.028238953572038684,0.004171653513073359,0.03241060708511204,0.015522999999999999,0.000301,0.0008467759,0.0008470377,0.000309,0.00387028365005966,0.032109237222098345,0.03180759872260231,convergence,False,False
134517__314713,134517,314713,2021-12-29,2022-01-03,5,9.610222401236602,9.328293379999998,18.72398851839036,18.512132462227736,-0.011314686288903818,0.029336368032474053,0.018021681743570234,0.047358049776044284,0.015522999999999999,0.000137,0.0008403644,0.0008350451,-0.00633,0.017884695442200373,0.04722106347467442,0.05351906317459909,convergence,False,False
134517__314713,134517,314713,2024-02-23,2024-02-26,1,8.962902,9.3885411016488,0.0,0.0,0.0,-0.04748898310489169,-0.04748898310489169,-0.09497796620978338,0.015522999999999999,0.0,0.0,0.0,0.0,-0.04748898310489169,-0.09497796620978338,-0.09497796620978338,overnight_abort,True,False
134517__314713,134517,314713,2024-05-30,2024-06-12,13,7.0906512604122005,7.299967442061,13.968513775469138,14.36101448749136,0.028098960156485244,-0.029520022063055353,-0.0014210619065701084,-0.03094108396962546,0.015522999999999999,0.000356,0.0007230057,0.0007264855,0.004813,-0.0017772262901317522,-0.031297248353187104,-0.03622174961515663,convergence,False,False
134517__314713,134517,314713,2024-07-17,2024-07-19,2,7.3197036983512005,7.1794719987634,14.520676208244076,14.163012256919492,-0.024631356432389926,0.019158111498336745,-0.005473244934053181,0.013684866564283565,0.015522999999999999,5.5e-05,0.000721597,0.0007204636,-0.001571,-0.005528039454601126,0.01363007204373562,0.015164476863936974,convergence,False,False
134517__314713,134517,314713,2024-08-08,2024-08-19,11,7.200197541648801,7.299967442061,14.265941530353421,14.474244352082295,0.014601407224729647,-0.013856550439774816,0.0007448567849548306,-0.013111693654819985,0.015522999999999999,0.000301,0.0007323137,0.0007527003,0.027839,0.000443486921941132,-0.013413063517833683,-0.04089315492809054,convergence,False,False
134517__314713,134517,314713,2024-11-29,2024-12-03,4,8.962902,8.4145425608244,17.310775752005174,16.2166907636835,-0.06320253950461716,0.061181014717733205,-0.0020215247868839506,0.059159489930849254,0.015522999999999999,0.00011,0.0007112578,0.000707649,-0.005074,-0.002131113827979841,0.059049900889753364,0.06382729006918522,convergence,False,False
134517__314713,134517,314713,2025-05-15,2025-06-04,20,9.928903958763401,10.894724704122,19.3680090513846,22.161190144959605,0.14421622202697817,-0.09727365169104599,0.04694257033593219,-0.0503310813551138,0.015522999999999999,0.000548,0.0007147324,0.0007377161,0.032157,0.046394625130452734,-0.05087902656059325,-0.08652732321861858,convergence,False,False
134517__314713,134517,314713,2025-06-17,2025-06-25,8,10.546349015878,13.756471399999999,20.53036745407053,26.85587584856982,0.3081049771101462,-0.3043823392615791,0.003722637848567134,-0.30065970141301196,0.015522999999999999,0.000219,0.0007266756,0.0007364474,0.013447,0.0035034597663753534,-0.30087887949520375,-0.31823591031006576,convergence,False,False
134517__314713,134517,314713,2025-07-16,2025-07-18,2,13.81282786,13.103793104122,26.8215944034024,26.299557823904347,-0.019463294077395756,0.05133161457338259,0.031868320495986834,0.08319993506936943,0.015522999999999999,5.5e-05,0.000718396,0.0007231678,0.006642,0.03181352597543889,0.08314514054882148,0.07667509991188853,convergence,False,False
134517__314713,134517,314713,2025-11-24,2025-12-02,8,17.129098612366,17.45164538061,33.760985943333196,34.795956726041595,0.03065582220985982,-0.01883034102046345,0.011825481189396369,-0.007004859831067082,0.015522999999999999,0.000219,0.0006823237,0.000682091,-0.000341,0.011606303107204587,-0.007224037913258863,-0.006872422645166832,convergence,False,False
29235P__29235V,29235P,29235V,2021-01-19,2021-01-22,3,9.17370562938362,10.102414525530255,17.998839107829713,19.970250123275818,0.10952989821374184,-0.10123595999984515,0.008293938213896693,-0.09294202178594846,0.014196,8.2e-05,0.0009112862,0.0009068732,-0.004843,0.008211746433074775,-0.09302421356677038,-0.0876250514338312,convergence,False,False
29235P__29235V,29235P,29235V,2021-08-25,2021-08-31,6,8.64244619103707,8.46834144174951,16.471265446694833,16.58104801862834,0.0066650963940076,0.020145309029302467,0.026810405423310067,0.04695571445261253,0.014196,0.000164,0.0008541861,0.000864992,0.012651,0.02664602186166623,0.0467913308909687,0.03421558179141166,convergence,False,False
29235P__29235V,29235P,29235V,2022-10-04,2022-10-06,2,4.39237419436917,4.6715249183470755,8.587473760964262,9.040717413421001,0.05277962589149692,-0.06355349331023859,-0.010773867418741666,-0.07432736072898025,0.014196,5.5e-05,0.0007056914,0.0007057263,4.9e-05,-0.010828661939289611,-0.0743821552495282,-0.07443421793862406,convergence,False,False
29235P__29235V,29235P,29235V,2023-12-01,2023-12-14,13,4.639030375725452,4.796483507652669,8.905952290930271,9.293999534375512,0.043571673277480315,-0.03394095730675065,0.009630715970729661,-0.024310241336020992,0.014196,0.000356,0.0007629686,0.0007681081,0.006736,0.009274551587168018,-0.024666405719582635,-0.03164906429955287,convergence,False,False
29235P__29235V,29235P,29235V,2024-05-02,2024-05-07,5,4.1724185006567,4.0162021286866,7.798377465762975,7.804804467008379,0.0008241459551836892,0.037440245254763575,0.03826439120994726,0.07570463646471084,0.014196,0.000137,0.0007373925,0.000732547,-0.006571,0.0381274049085774,0.07556765016334098,0.08218769420041412,convergence,False,False
